date,series,East Midlands,East of England,London,North East,North West,Scotland,South East,South West,Wales,West Midlands,Yorkshire and The Humber,Great Britain
2015,Central high street,100,100,100,100,100,100,100,100,100,100,100,100
2015,Central shopping centre,100,100,100,100,100,100,100,100,100,100,100,100
2015,Non-central high street,100,100,100,100,100,100,100,100,100,100,100,100
2015,Non-central retail park,100,100,100,100,100,100,100,100,100,100,100,100
2016,Central high street,95.41,90.54,89.64,101.98,102.74,99.81,96.44,101.05,91.96,105.35,98.76,96.54
2016,Central shopping centre,97.35,100.14,96.87,98.21,98.77,96.34,97.87,100.9,98.06,102.38,100.06,98.83
2016,Non-central high street,90.31,92.19,86.29,103.3,97.46,100.73,93.29,98.89,88.13,105.51,102.92,93.05
2016,Non-central retail park,100.02,99.17,99.19,102.28,99.05,100.48,101.23,100.41,98.83,101.87,99.17,100.18
2017,Central high street,86.66,91.05,100.09,108.62,103.4,97.71,94.83,95.48,91.19,99.52,101.54,96.9
2017,Central shopping centre,91.97,97.46,95.28,99.12,96.75,93.52,93.95,95.64,97.45,95.56,100.94,95.96
2017,Non-central high street,82.4,95.83,92.11,110.71,97.17,102.03,91.81,98.27,87.19,101.51,108.78,95.43
2017,Non-central retail park,101.82,100.7,99.06,103.65,99.96,101.86,105.65,98.01,99.62,103.05,100.58,101.55
2018,Central high street,81.49,90.7,100.97,103.84,107.37,92.13,93.94,85.87,91.65,98.14,92.65,94.63
2018,Central shopping centre,88.68,90.35,94.6,96.61,96.92,89.52,92.04,90.02,94.4,93.55,95.77,93.11
2018,Non-central high street,80.71,94.71,93.27,92.28,105.54,92.18,94.07,88.03,86.9,101.12,104.05,94.91
2018,Non-central retail park,99.41,101.39,105.61,99.43,100.4,100.23,105.87,99.01,96.98,101.01,97.09,100.88
2019,Central high street,83.25,82.1,94.12,111.4,100.12,93.32,97.42,101.38,85.68,97.91,106.58,94.99
2019,Central shopping centre,85.69,84.97,94.7,96.01,92.77,88.19,92.98,93.08,89.06,90.28,99.63,91.78
2019,Non-central high street,85.44,81.06,82.98,113.71,102,96.46,95.28,106.41,86.31,101.7,115.52,92.55
2019,Non-central retail park,98.55,98.97,102.84,97.52,97.9,98.35,117.04,99.01,95.28,99.87,98.68,101.37
2020,Central high street,81.04,86.62,104.17,91.95,105.94,88.99,87.67,80.58,72.91,98.24,85.02,91.04
2020,Central shopping centre,81.29,79.41,90.89,81.55,86.42,78.8,81.93,80.66,75.48,83.91,83.8,83.08
2020,Non-central high street,82.42,91.19,97.47,93.92,113.15,105.57,91.34,87.03,75.11,105.69,90.91,96.9
2020,Non-central retail park,100.06,104.5,95,99.75,103.77,104.28,109.68,98.14,97.54,101.12,98.72,102.17
2021,Central high street,88.48,79.11,96.81,105.81,84.05,96.47,97.37,85.88,99.12,94.09,83.63,91.54
2021,Central shopping centre,73.64,71.1,80.26,88.03,74.33,77.44,79.23,76.27,75.18,75.13,78.75,77.03
2021,Non-central high street,93.2,92.37,94.47,96.97,89.34,122.9,109.54,99.88,110.43,108.02,95.73,98.46
2021,Non-central retail park,102.79,103.27,96.08,97.26,99.6,108.43,122.24,98.84,97.04,100.87,97.95,103.87
2022,Central high street,72.42,80.09,99.7,99.9,78.39,79.87,81.99,76.91,76.16,91.18,92.53,84.58
2022,Central shopping centre,69.03,69.6,78.82,74.8,71.9,68.82,73,69.87,65.46,72.78,75.87,72.39
2022,Non-central high street,79.07,88.78,104.02,104.07,88.06,97.67,90.53,90.04,89.34,104.26,113.51,98.42
2022,Non-central retail park,98.44,101.94,93.92,92.04,97.94,101.51,111.09,94.48,94.88,98.97,93.63,99.37
2023,Central high street,71.34,76.75,89.35,91.72,83.49,85.27,80.72,85.5,76.21,93.29,89.77,83.77
2023,Central shopping centre,66.55,68.94,76.16,70.63,72.64,71.32,71.58,74.48,70.87,70.8,72.61,71.81
2023,Non-central high street,72.84,86.83,87.46,88.19,95.14,104.92,86.05,92.99,85.13,107.08,105.57,91.26
2023,Non-central retail park,96.65,102.85,91.11,85.82,95.09,101.8,114.76,95.53,91.02,100.36,91.67,98.83
2024,Central high street,64.07,73.95,94.15,87.42,78.76,76.32,79.32,85.12,70.92,81.39,80.81,80.66
2024,Central shopping centre,64.24,66.84,76.04,69.93,68.59,70.62,70.34,71.45,62.86,64.37,71.37,69.31
2024,Non-central high street,75.02,86.03,95.77,98.74,94.4,94.28,86.77,97.2,86.06,100.98,95.36,93.63
2024,Non-central retail park,94.96,98.2,91.84,87.06,92.04,100.5,120.4,94.5,90.97,99.01,89.79,98.26
